-log10pvalue	-log10qvalue	rank	basepairs
410.31	404.01	1304	3
409.71	403.41	1307	1
409.68	403.38	1308	3
409.55	403.25	1311	1
409.52	403.22	1312	6
409.20	402.90	1318	3
408.80	402.50	1321	3
408.74	402.44	1324	4
408.19	401.90	1328	1
408.16	401.87	1329	1
407.96	401.67	1330	9
407.60	401.31	1339	5
407.26	400.97	1344	1
407.25	400.96	1345	2
407.17	400.88	1347	4
406.73	400.44	1351	1
406.70	400.41	1352	1
406.61	400.32	1353	1
406.40	400.11	1354	5
406.00	399.72	1359	1
405.69	399.41	1360	7
405.60	399.32	1367	5
405.32	399.04	1372	2
405.22	398.94	1374	2
404.84	398.56	1376	3
404.41	398.13	1379	1
404.14	397.86	1380	8
403.73	397.46	1388	1
403.52	397.25	1389	1
403.42	397.15	1390	1
403.28	397.01	1391	2
402.50	396.23	1393	1
402.15	395.88	1394	2
401.93	395.66	1396	1
401.72	395.45	1397	2
401.59	395.32	1399	1
401.09	394.82	1400	1
401.05	394.78	1401	3
400.90	394.63	1404	1
400.83	394.56	1405	1
400.58	394.31	1406	4
400.43	394.16	1410	1
400.17	393.90	1411	4
399.50	393.23	1415	5
399.34	393.08	1420	6
399.01	392.75	1426	3
398.95	392.69	1429	1
398.28	392.02	1430	1
397.95	391.69	1431	3
397.78	391.52	1434	3
397.46	391.20	1437	1
397.45	391.19	1438	4
397.06	390.80	1442	3
396.22	389.96	1445	1
395.97	389.71	1446	1
395.89	389.63	1447	3
395.81	389.55	1450	1
395.64	389.38	1451	1
395.51	389.26	1452	2
395.24	388.99	1454	1
394.66	388.41	1455	2
394.49	388.24	1457	1
394.33	388.08	1458	1
394.27	388.02	1459	4
393.32	387.07	1463	1
393.10	386.85	1464	3
392.85	386.60	1467	2
392.76	386.51	1469	1
392.73	386.48	1470	4
392.41	386.16	1474	1
391.54	385.29	1475	1
391.45	385.20	1476	1
391.21	384.96	1477	1
391.20	384.95	1478	5
391.11	384.86	1483	4
390.86	384.62	1487	1
390.62	384.38	1488	1
389.99	383.75	1489	1
389.87	383.63	1490	3
389.78	383.54	1493	1
